Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
3rd phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,1,12.0,2,11.0,Dropout
1st phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,6,11.666666666666666,6,13.5,Graduate
3rd phase - general contingent,Oral Hygiene,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,7,11.4375,8,11.425,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,5,11.6,4,11.0,Graduate
1st phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,5,12.666666666666666,4,13.0,Graduate
2nd phase - general contingent,Nursing,Higher Education,Higher Education,Armed Forces Professions,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,6,12.933333333333332,6,13.716666666666669,Graduate
Technological specialization diploma holders,Agronomy,Higher education - doctorate,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,Administrative staff,No,Yes,5,11.857142857142858,5,10.571428571428571,Graduate
1st phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,No,No,3,11.333333333333334,2,13.5,Dropout
2nd phase - general contingent,Management (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,2,11.5,3,14.333333333333334,Dropout
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Yes,Yes,6,11.833333333333334,6,11.833333333333334,Graduate
